t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,current_from_u_raw,goal_current_raw,present_current_raw,psi_hat_norm,q_ref_base_rad,qdd_ref_rad_s2,disturb_jump_active,disturb_jump_rad,disturb_pulse_active,disturb_pulse_raw,disturb_event_count
2.083454,2.1816615650,2.1828546612,0.0000000000,-0.0882340281,-0.0005653488,0.0882340281,0.0046373909,0.0912754917,-2.2206220449,0.5605475136,0.5040773513,0.9014120063,0.0054122028,-0.0298893908,-6.2767720768,1.361,0,0.2617682742,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.125106,2.1816615650,2.1874566035,0.0000000000,-0.0264215732,-0.0056070603,0.0264215732,0.0044037634,0.0197688702,-1.7161589168,0.5135168127,0.5041859774,0.9014218189,0.0002355005,-0.0065119956,-1.3675190821,1.404,0,0.2386465514,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.166783,2.1816615650,2.1905245651,0.0000000000,0.0115373228,-0.0089450832,-0.0115373228,0.0040310516,-0.0248013677,-1.0696857089,0.4623484106,0.5041907016,0.9014359517,0.0003391891,0.0080020886,1.6804386120,0.981,0,0.2177461561,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.208539,2.1816615650,2.1935925267,0.0000000000,0.0348477994,-0.0121788889,-0.0348477994,0.0035235979,-0.0546463555,-0.7162797081,0.4177534390,0.5041975055,0.9014990152,0.0015135240,0.0197708772,4.1518842093,0.558,0,0.2003625082,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.250135,2.1816615650,2.1966604883,0.0000000000,0.0491627130,-0.0153486950,-0.0491627130,0.0028840689,-0.0754922695,-0.5003019358,0.3814314247,0.5042278606,0.9016107442,0.0026814945,0.0267864967,5.6251643146,0.134,0,0.1863929977,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.291882,2.1816615650,2.1981944690,0.0000000000,0.0486992194,-0.0168793782,-0.0486992194,0.0021807615,-0.0785317840,-0.0729483474,0.3542137601,0.5042816201,0.9017246571,0.0027339114,0.0263480348,5.5330873160,-0.289,0,0.1739885581,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.333451,2.1816615650,2.1997284498,0.0000000000,0.0391603376,-0.0183454939,-0.0391603376,0.0014163659,-0.0724284882,0.1464790983,0.3308752340,0.5043364035,0.9018164508,0.0022030473,0.0224106776,4.7062423003,-0.713,0,0.1620594354,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.375112,2.1816615650,2.1997284498,0.0000000000,0.0240482793,-0.0182379781,-0.0240482793,0.0006564501,-0.0577868367,0.3513996367,0.3094599516,0.5043805295,0.9018719032,0.0013308583,0.0159580076,3.3511816023,-1.136,-1,0.1498889836,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.416775,2.1816615650,2.1997284498,0.0000000000,0.0147679967,-0.0181719528,-0.0147679967,-0.0001007146,-0.0490526012,0.2096216509,0.2869318955,0.5044071774,0.9019096011,0.0009047485,0.0119698581,2.5136702076,-1.559,-1,0.1381632866,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.458467,2.1816615650,2.1997284498,0.0000000000,0.0090689951,-0.0181314069,-0.0090689951,-0.0008561898,-0.0439460973,0.1225560939,0.2648931807,0.5044252895,0.9019380851,0.0006836178,0.0094841463,1.9916707132,-1.955,-2,0.1271575927,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
