t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,current_from_u_raw,goal_current_raw,present_current_raw,psi_hat_norm
3.000107,2.5096337500,2.4758449916,0.0161142954,0.0283657825,0.0337015724,-0.0122514871,0.0807137927,0.1585648426,0.2028260741,0.1789356174,0.5005671494,0.8942967772,0.0068003157,-0.0214676507,-4.5082066539,4.379,2,0.1002779644
3.041778,2.5112891044,2.4758449916,0.0160423167,0.0254880873,0.0353657718,-0.0094457706,0.0821873665,0.1667882368,0.1973614597,0.1825545980,0.5007078126,0.8946144701,0.0076246276,-0.0228895674,-4.8068091637,4.677,2,0.1027528239
3.083481,2.5129516501,2.4758449916,0.0159593794,0.0229023329,0.0370362651,-0.0069429535,0.0837305442,0.1748061288,0.1924294087,0.1871847994,0.5008653320,0.8949693367,0.0085168002,-0.0244028626,-5.1246011371,4.995,5,0.1057833678
3.125291,2.5146238406,2.4758449916,0.0158652155,0.0205789021,0.0387155970,-0.0047136866,0.0853436941,0.1826538878,0.1883462154,0.1928140905,0.5010410395,0.8953646067,0.0094864802,-0.0260225278,-5.4647308449,5.335,4,0.1093624442
3.166784,2.5162879589,2.4758449916,0.0157608110,0.0184911822,0.0403861322,-0.0027303712,0.0870264496,0.1903200178,0.1839871202,0.1994304279,0.5012364493,0.8958037383,0.0105391564,-0.0277564568,-5.8288559297,5.699,6,0.1134800995
3.208494,2.5179648510,2.4773789724,0.0156448034,0.0166152605,0.0405348094,-0.0009704572,0.0887154000,0.1944344265,0.0987458085,0.2066287124,0.5014531680,0.8962734003,0.0112718901,-0.0290705976,-6.1048255039,5.975,7,0.1177916411
3.250141,2.5196426061,2.4758449916,0.0155178623,0.0149296502,0.0437517263,0.0005882120,0.0905383886,0.2052338590,0.2591863813,0.2149504243,0.5016845169,0.8968112890,0.0129093268,-0.0315562424,-6.6268109030,6.482,6,0.1229764475
3.291772,2.5213224687,2.4758449916,0.0153798291,0.0134150443,0.0454362442,0.0019647849,0.0924315654,0.2125766334,0.1762265861,0.2244615958,0.5019489168,0.8974062631,0.0142793793,-0.0337173417,-7.0806417556,6.951,4,0.1286822407
3.333462,2.5230068323,2.4773789724,0.0152303938,0.0120540944,0.0455908100,0.0031762994,0.0943311825,0.2164085831,0.0919667917,0.2344769411,0.5022406841,0.8980424244,0.0152678707,-0.0354336493,-7.4410663556,7.311,7,0.1345253979
3.375133,2.5246919202,2.4773789724,0.0150697775,0.0108312122,0.0472796567,0.0042385653,0.0963011682,0.2235387944,0.1711250727,0.2451506180,0.5025518419,0.8987434199,0.0168238933,-0.0378228690,-7.9428024982,7.813,6,0.1408765121
3.416795,2.5263774700,2.4804469340,0.0148979175,0.0121652341,0.0458931445,0.0027326834,0.0982133826,0.2212905895,-0.0539569188,0.2556457336,0.5028937431,0.8994518003,0.0170011287,-0.0386359007,-8.1135391565,7.984,7,0.1466758619
3.458454,2.5280630514,2.4835148956,0.0147147625,0.0157967633,0.0444996024,-0.0010820009,0.1000675327,0.2166484318,-0.1114117859,0.2649057441,0.5032382123,0.9001488818,0.0167299555,-0.0388608993,-8.1607888586,8.031,9,0.1516978000
3.500116,2.5297483010,2.4881168380,0.0145202506,0.0239255621,0.0415579247,-0.0094053115,0.1017991129,0.2039570698,-0.3045926870,0.2718591573,0.5035761700,0.9007787369,0.0151165221,-0.0373231499,-7.8378614864,7.708,9,0.1551714148
3.541870,2.5314361001,2.4957867419,0.0143139073,0.0360953845,0.0355384143,-0.0217814772,0.1032798801,0.1801652985,-0.5710025120,0.2745713781,0.5038806655,0.9012738846,0.0118835453,-0.0332355275,-6.9794607739,7.202,7,0.1562576979
3.583578,2.5331202394,2.5049906266,0.0140963687,0.0518962707,0.0279701028,-0.0377999019,0.1044453011,0.1489576863,-0.7489826914,0.2721206189,0.5041194575,0.9016100874,0.0080688670,-0.0273075727,-5.7345902580,6.695,6,0.1548352480
3.625137,2.5347959289,2.5172624729,0.0138682300,0.0709598509,0.0173153516,-0.0570916208,0.1051667741,0.1071783840,-1.0027032549,0.2639243147,0.5042813041,0.9017802207,0.0040831999,-0.0192117225,-4.0344617337,6.188,7,0.1509734996
