t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
1.750161,2.4671660903,2.4420974143,0.0136366062,0.0000000000,0.0250686760,0.0136366062,0.0156327101,0.0947800582,0.1077784449,0.0385837152,0.4966074277,0.8862311901,0.0015470813,-0.0080103357,-0.0008269658,-0.0000000000,0.0000957163,0.0000000000,0.0632000000,-1.6821704907,1.553,1.000000,10.1211443054,0,0.0277988228
1.791801,2.4683780129,2.4420974143,0.0138479278,0.0000000000,0.0262805986,0.0138479278,0.0167277351,0.0993885680,0.1106042360,0.0429148588,0.4966404584,0.8863038556,0.0017439705,-0.0086173604,-0.0008397810,-0.0000000000,0.0000971995,0.0000159415,0.0632000000,-1.8096456779,1.680,1.000000,10.1211443054,1,0.0308536676
1.833475,2.4696129854,2.4420974143,0.0140517290,0.0000000000,0.0275155711,0.0140517290,0.0178742172,0.1041160169,0.1134587747,0.0476348220,0.4966776828,0.8863857300,0.0019649862,-0.0092775367,-0.0008521401,-0.0000000000,0.0000986299,0.0027536328,0.0632000000,-1.9482827140,1.819,1.000000,10.1211443054,1,0.0341754874
1.875196,2.4708710549,2.4420974143,0.0142479111,0.0000000000,0.0287736406,0.0142479111,0.0190731189,0.1089637634,0.1163459156,0.0527669113,0.4967196121,0.8864779452,0.0022131635,-0.0099976637,-0.0008640372,-0.0000000000,0.0001000068,0.0101804201,0.0632000000,-2.0995093855,1.970,1.000000,10.1211443054,1,0.0377801648
1.916814,2.4721471578,2.4420974143,0.0144356337,0.0000000000,0.0300497435,0.0144356337,0.0203251915,0.1139200426,0.1189507002,0.0583353418,0.4967668213,0.8865817511,0.0024913422,-0.0107820139,-0.0008754213,-0.0000000000,0.0001013243,0.0222021966,0.0632000000,-2.2642229122,2.135,1.000000,10.1211443054,1,0.0416825838
1.958472,2.4734452262,2.4420974143,0.0146154270,0.0000000000,0.0313478119,0.0146154270,0.0216313504,0.1189959634,0.1218220999,0.0643628655,0.4968199442,0.8866985699,0.0028036511,-0.0116372897,-0.0008863245,-0.0000000000,0.0001025861,0.0387604682,0.0632000000,-2.4438308336,2.314,1.000000,10.1211443054,1,0.0458995648
2.000129,2.4747635071,2.4420974143,0.0147869585,0.0000000000,0.0326660928,0.0147869585,0.0229924376,0.1241882253,0.1246142854,0.0708750630,0.4968797009,0.8868299904,0.0031540935,-0.0125693590,-0.0008967267,-0.0000000000,0.0001037900,0.0597223726,0.0632000000,-2.6395653939,2.510,1.000000,10.1211443054,1,0.0504479639
2.041774,2.4761012056,2.4420974143,0.0149500559,0.0000000000,0.0340037912,0.0149500559,0.0244092622,0.1294959072,0.1273843644,0.0778975031,0.4969468945,0.8869777913,0.0035472211,-0.0135846952,-0.0009066174,-0.0000000000,0.0001049347,0.0849254006,0.0632000000,-2.8527859948,2.723,1.000000,10.1211443054,3,0.0553449786
2.083485,2.4774603987,2.4436313951,0.0151048758,0.0000000000,0.0338290036,0.0151048758,0.0258188040,0.1312082130,0.0410953398,0.0852960381,0.4970224223,0.8871348338,0.0037690203,-0.0142457725,-0.0009160062,-0.0000000000,0.0001060213,0.0814194687,0.0632000000,-2.9916122242,2.862,1.000000,10.1211443054,4,0.0600362130
2.125122,2.4788360063,2.4451653759,0.0152507673,0.0033187833,0.0336519901,0.0119319840,0.0272209703,0.1295772306,-0.0391435779,0.0922729412,0.4971026252,0.8872928774,0.0037930452,-0.0145007663,-0.0007235923,-0.0000000000,0.0001070452,0.0779326173,0.0632000000,-3.0451609185,2.916,1.000000,10.1211443054,1,0.0640442097
