t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,current_from_u_raw,goal_current_raw,present_current_raw,psi_hat_norm
1.791768,2.4683770486,2.4451653759,0.0138477642,0.0000000000,0.0232116727,0.0138477642,0.0151292200,0.0903430478,0.1069765234,0.0351802401,0.4965878489,0.8861846053,0.0013458930,-0.0073979585,-1.5535712870,1.424,0,0.0253866429
1.833473,2.4696129394,2.4451653759,0.0140517216,0.0000000000,0.0244475636,0.0140517216,0.0161478685,0.0949206592,0.1098626751,0.0390565684,0.4966165888,0.8862479663,0.0015206646,-0.0079559840,-1.6707566483,1.541,0,0.0281529024
1.875109,2.4708683895,2.4451653759,0.0142475073,0.0000000000,0.0257030137,0.0142475073,0.0172188274,0.0996103834,0.1125533802,0.0433172039,0.4966490532,0.8863195044,0.0017169138,-0.0085603890,-1.7976816890,1.668,1,0.0311823801
1.916769,2.4721457822,2.4451653759,0.0144354373,0.0000000000,0.0269804063,0.0144354373,0.0183430110,0.1044194888,0.1154185300,0.0479830105,0.4966856978,0.8864002365,0.0019375714,-0.0092163253,-1.9354283169,1.806,2,0.0344900749
1.958533,2.4734471431,2.4451653759,0.0146156844,0.0000000000,0.0282817672,0.0146156844,0.0195214180,0.1093543702,0.1184371529,0.0530769319,0.4967270398,0.8864913180,0.0021859538,-0.0099293918,-2.0851722740,1.956,1,0.0380923337
2.000142,2.4747639116,2.4451653759,0.0147870095,0.0000000000,0.0295985357,0.0147870095,0.0207546903,0.1143943559,0.1209596556,0.0586237639,0.4967736661,0.8865940129,0.0024646783,-0.0107032141,-2.2476749628,2.118,2,0.0420034342
2.041800,2.4761020378,2.4451653759,0.0149501540,0.0000000000,0.0309366619,0.0149501540,0.0220437179,0.1195555795,0.1238693674,0.0646452733,0.4968262178,0.8867097698,0.0027781659,-0.0115449708,-2.4244438679,2.295,1,0.0462402868
2.083455,2.4774594191,2.4451653759,0.0151047681,0.0000000000,0.0322940432,0.0151047681,0.0233893030,0.1248338276,0.1266779555,0.0711670778,0.4968854286,0.8868402081,0.0031305193,-0.0124606405,-2.6167345049,2.487,1,0.0508197534
2.125124,2.4788360617,2.4451653759,0.0152507730,0.0000000000,0.0336706858,0.0152507730,0.0247922483,0.1302301688,0.1295121880,0.0782146702,0.4969521173,0.8869871477,0.0035265491,-0.0134571434,-2.8260001119,2.696,2,0.0557593647
2.166768,2.4802302417,2.4466993567,0.0153879145,0.0000000000,0.0335308850,0.0153879145,0.0261893685,0.1320066588,0.0426357607,0.0856536461,0.4970272021,0.8871435246,0.0037530476,-0.0141308533,-2.9674791862,2.838,3,0.0604993183
2.208450,2.4816435685,2.4497673183,0.0155162692,0.0024328432,0.0318687725,0.0130834260,0.0275172340,0.1276270830,-0.1051098208,0.0925275212,0.4971070623,0.8872943628,0.0036201157,-0.0141003384,-2.9610710717,2.831,4,0.0641411365
2.250257,2.4830785807,2.4543692606,0.0156359284,0.0094845621,0.0286801680,0.0061513662,0.0287122410,0.1148058163,-0.3077103996,0.0973667481,0.4971840478,0.8874190748,0.0029930875,-0.0129620206,-2.7220243191,2.592,4,0.0656758718
2.291767,2.4845201590,2.4605051838,0.0157456191,0.0231194171,0.0239439147,-0.0073737981,0.0297099041,0.0914360658,-0.5608740129,0.0985818263,0.4972476649,0.8874986051,0.0019087291,-0.0103800515,-2.1798108163,2.086,3,0.0643639185
2.333453,2.4859841843,2.4697090685,0.0158465171,0.0378038658,0.0161589207,-0.0219573487,0.0303831925,0.0593069989,-0.7710976045,0.0950995727,0.4972882181,0.8875315536,0.0007907621,-0.0066305274,-1.3924107499,1.579,1,0.0604982011
2.375136,2.4874638878,2.4743110109,0.0159380128,0.0485657409,0.0130036038,-0.0326277281,0.0309250093,0.0419047758,-0.4176533561,0.0885979907,0.4973050151,0.8875475273,0.0003833685,-0.0045496262,-0.9554215045,1.072,1,0.0560243188
2.416785,2.4889576387,2.4758449916,0.0160199403,0.0509372992,0.0129560847,-0.0349173589,0.0314648462,0.0402640170,-0.0393782099,0.0818528865,0.4973131577,0.8875618189,0.0003429999,-0.0042364969,-0.8896643395,0.760,0,0.0518766124
2.458468,2.4904673518,2.4758449916,0.0160923248,0.0457697343,0.0144816809,-0.0296774095,0.0320682495,0.0499799473,0.2331823260,0.0759378400,0.4973204424,0.8875832244,0.0005137321,-0.0051118393,-1.0734862625,0.944,0,0.0485675937
2.500105,2.4919895539,2.4758449916,0.0161549241,0.0411264164,0.0160181548,-0.0249714923,0.0327356727,0.0592780270,0.2231539144,0.0712150704,0.4973313524,0.8876126437,0.0007060623,-0.0059237284,-1.2439829683,1.114,1,0.0460977879
2.541788,2.4935270634,2.4758449916,0.0162077733,0.0369541610,0.0175684883,-0.0207463877,0.0334676930,0.0682193757,0.2145923680,0.0676958843,0.4973463454,0.8876509249,0.0009187501,-0.0066980530,-1.4065911288,1.277,1,0.0444597748
2.583426,2.4950759785,2.4743110109,0.0162506563,0.0332051788,0.0206629072,-0.0169545226,0.0343286475,0.0805778647,0.2966037354,0.0655078844,0.4973658522,0.8877037405,0.0012675736,-0.0078240817,-1.6430571645,1.513,0,0.0439607596
2.625095,2.4966385145,2.4758449916,0.0162835578,0.0298365292,0.0207018164,-0.0135529714,0.0351912232,0.0852890439,0.1130683013,0.0647195874,0.4973927604,0.8877626737,0.0014143959,-0.0082485423,-1.7321938896,1.603,1,0.0439214328
